Model,Epoch,TrainLoss,ValLoss,WAPE,Bias,BiasRatio
HGT,10,2.190244,2.437516,0.7099,27.7104,0.0395
HGT,20,1.962074,2.251168,0.8924,223.3188,0.3184
HGT,30,0.932768,1.613472,0.8079,200.2458,0.2855
HGT,40,0.770055,1.694136,0.6640,34.9881,0.0499
HGT,50,0.837573,1.395159,0.6663,62.3698,0.0889
HGT,60,0.723777,1.388053,0.6695,20.1583,0.0287
HGT,70,0.702664,1.463815,0.6199,13.4135,0.0191
HGT,80,0.610461,1.334847,0.5817,14.7861,0.0211
HGT,90,0.654459,1.385274,0.6641,-0.7681,0.0011
HGT,100,0.616282,1.254083,0.5811,8.3692,0.0119
